"券商","買進","賣出","買賣超","佔成交比重","日期"
"元大-大松山","0","8","8","1.66%","2018-1-19"
"兆豐","0","73","73","15.11%","2018-1-22"
"統一","2","26","24","4.97%","2018-1-22"
"永豐金-南京","0","20","20","4.14%","2018-1-22"
"華南永昌-南京","0","20","20","4.14%","2018-1-22"
"統一-仁愛","0","12","12","2.48%","2018-1-22"
"國票-安和","0","11","11","2.28%","2018-1-22"
"瑞士信貸","0","10","10","2.07%","2018-1-22"
"國泰","0","10","10","2.07%","2018-1-22"
"富邦-台北","0","10","10","2.07%","2018-1-22"
"元富-四維","0","10","10","2.07%","2018-1-22"
"合庫-西台中","0","10","10","2.07%","2018-1-22"
"凱基-虎尾","0","10","10","2.07%","2018-1-22"
"華南永昌","0","8","8","1.66%","2018-1-22"
"彰銀","0","8","8","1.66%","2018-1-22"
"兆豐-彰化","0","8","8","1.66%","2018-1-22"
"元大-西門","0","73","73","15.11%","2018-1-23"
"第一金-經紀部","2","26","24","4.97%","2018-1-23"
"永豐金-桃園","0","20","20","4.14%","2018-1-23"
"玉山-高雄","0","20","20","4.14%","2018-1-23"
"富邦","0","12","12","2.48%","2018-1-23"
"中國信託-中壢","0","11","11","2.28%","2018-1-23"
"兆豐-台南","0","10","10","2.07%","2018-1-23"
"康和-嘉義","0","10","10","2.07%","2018-1-23"
"富邦-大同","0","10","10","2.07%","2018-1-23"
"元大-北屯","0","10","10","2.07%","2018-1-23"
"元大-開元","0","10","10","2.07%","2018-1-23"
"兆豐-台中港","0","10","10","2.07%","2018-1-23"
"國泰-台中","0","8","8","1.66%","2018-1-23"
"元大-內湖","0","8","8","1.66%","2018-1-23"
"富邦-竹東","0","8","8","1.66%","2018-1-23"
"元大-北屯","0","73","73","15.11%","2018-1-24"
"國票-安和","2","26","24","4.97%","2018-1-24"
"摩根大通","0","20","20","4.14%","2018-1-24"
"華南永昌-南京","0","20","20","4.14%","2018-1-24"
"永豐金-松山","0","12","12","2.48%","2018-1-24"
"第一金-彰化","0","11","11","2.28%","2018-1-24"
"日盛","0","10","10","2.07%","2018-1-24"
"大昌","0","10","10","2.07%","2018-1-24"
"新光","0","10","10","2.07%","2018-1-24"
"台新","0","10","10","2.07%","2018-1-24"
"華南永昌-中正","0","10","10","2.07%","2018-1-24"
"玉山-雙和","0","10","10","2.07%","2018-1-24"
"元大-八德","0","8","8","1.66%","2018-1-24"
"凱基-竹北","0","8","8","1.66%","2018-1-24"
"國票-北投","0","8","8","1.66%","2018-1-24"
"兆豐-復興","0","73","73","15.11%","2018-1-25"
"華南永昌-南京","2","26","24","4.97%","2018-1-25"
"大鼎","0","20","20","4.14%","2018-1-25"
"富邦-嘉義","0","20","20","4.14%","2018-1-25"
"國票-安和","0","12","12","2.48%","2018-1-25"
"元大-土城學府","0","11","11","2.28%","2018-1-25"
"統一","0","10","10","2.07%","2018-1-25"
"群益金鼎-嘉義","0","10","10","2.07%","2018-1-25"
"元富-潮州","0","10","10","2.07%","2018-1-25"
"美林","0","10","10","2.07%","2018-1-25"
"元大-福營","0","10","10","2.07%","2018-1-25"
"日盛-信義","0","10","10","2.07%","2018-1-25"
"日盛-忠孝","0","8","8","1.66%","2018-1-25"
"亞東-新竹","0","8","8","1.66%","2018-1-25"
"群益金鼎-竹南","0","8","8","1.66%","2018-1-25"
"永豐金-中正","0","73","73","15.11%","2018-1-26"
"富邦","2","26","24","4.97%","2018-1-26"
"華南永昌-林口","0","20","20","4.14%","2018-1-26"
"凱基-台南","0","20","20","4.14%","2018-1-26"
"永豐金-敦南","0","12","12","2.48%","2018-1-26"
"永豐金-桃園","0","11","11","2.28%","2018-1-26"
"華南永昌-南京","0","10","10","2.07%","2018-1-26"
"元大-大益","0","10","10","2.07%","2018-1-26"
"元大-發財","0","10","10","2.07%","2018-1-26"
"日盛-高雄","0","10","10","2.07%","2018-1-26"
"元大-北成功","0","10","10","2.07%","2018-1-26"
"統一-仁愛","0","10","10","2.07%","2018-1-26"
"富邦-延吉","0","8","8","1.66%","2018-1-26"
"元富-新興","0","8","8","1.66%","2018-1-26"
"兆豐-大同","0","8","8","1.66%","2018-1-26"
"富邦","0","73","73","15.11%","2018-1-29"
"瑞士信貸","2","26","24","4.97%","2018-1-29"
"富邦-花蓮","0","20","20","4.14%","2018-1-29"
"大鼎","0","20","20","4.14%","2018-1-29"
"國泰","0","12","12","2.48%","2018-1-29"
"凱基-三重","0","11","11","2.28%","2018-1-29"
"元大-新盛","0","10","10","2.07%","2018-1-29"
"群益金鼎-三民","0","10","10","2.07%","2018-1-29"
"富邦-台北","0","10","10","2.07%","2018-1-29"
"永豐金-信義","0","10","10","2.07%","2018-1-29"
"新光","0","10","10","2.07%","2018-1-29"
"宏遠-館前","0","10","10","2.07%","2018-1-29"
"華南永昌-林口","0","8","8","1.66%","2018-1-29"
"國票-新莊","0","8","8","1.66%","2018-1-29"
"凱基-台北","0","8","8","1.66%","2018-1-29"
"元大","0","73","73","15.11%","2018-1-30"
"富邦","2","26","24","4.97%","2018-1-30"
"元富","0","20","20","4.14%","2018-1-30"
"大鼎","0","20","20","4.14%","2018-1-30"
"華南永昌-和平","0","12","12","2.48%","2018-1-30"
"元大-基隆","0","11","11","2.28%","2018-1-30"
"統一-城中","0","10","10","2.07%","2018-1-30"
"華南永昌-南京","0","10","10","2.07%","2018-1-30"
"凱基-信義","0","10","10","2.07%","2018-1-30"
"國泰","0","10","10","2.07%","2018-1-30"
"華南永昌-斗六","0","10","10","2.07%","2018-1-30"
"鑫豐","0","10","10","2.07%","2018-1-30"
"永豐金-桃園","0","8","8","1.66%","2018-1-30"
"群益金鼎-大安","0","8","8","1.66%","2018-1-30"
"新光-新竹","0","8","8","1.66%","2018-1-30"
"凱基-信義","0","73","73","15.11%","2018-1-31"
"日盛-大墩","2","26","24","4.97%","2018-1-31"
"凱基-南崁","0","20","20","4.14%","2018-1-31"
"永豐金-經紀部","0","20","20","4.14%","2018-1-31"
"富邦","0","12","12","2.48%","2018-1-31"
"永豐金-中正","0","11","11","2.28%","2018-1-31"
"玉山-高雄","0","10","10","2.07%","2018-1-31"
"土銀","0","10","10","2.07%","2018-1-31"
"日盛-中和","0","10","10","2.07%","2018-1-31"
"華南永昌-桃園","0","10","10","2.07%","2018-1-31"
"新光","0","10","10","2.07%","2018-1-31"
"元富-世貿","0","10","10","2.07%","2018-1-31"
"群益金鼎-大安","0","8","8","1.66%","2018-1-31"
"元大-虎尾","0","8","8","1.66%","2018-1-31"
"日盛-高雄","0","8","8","1.66%","2018-1-31"
"永豐金-信義","0","73","73","15.11%","2018-2-1"
"凱基-信義","2","26","24","4.97%","2018-2-1"
"元大-南屯","0","20","20","4.14%","2018-2-1"
"新光","0","20","20","4.14%","2018-2-1"
"日盛-大墩","0","12","12","2.48%","2018-2-1"
"第一金-頭份","0","11","11","2.28%","2018-2-1"
"德信","0","10","10","2.07%","2018-2-1"
"美林","0","10","10","2.07%","2018-2-1"
"元大-蘆洲","0","10","10","2.07%","2018-2-1"
"國泰-台南","0","10","10","2.07%","2018-2-1"
"華南永昌","0","10","10","2.07%","2018-2-1"
"永豐金-大稻埕","0","10","10","2.07%","2018-2-1"
"國泰-板橋","0","8","8","1.66%","2018-2-1"
"元大-北港","0","8","8","1.66%","2018-2-1"
"元富-松德","0","8","8","1.66%","2018-2-1"
"華南永昌-南京","0","73","73","15.11%","2018-2-2"
"凱基-信義","2","26","24","4.97%","2018-2-2"
"元大-南屯","0","20","20","4.14%","2018-2-2"
"統一-仁愛","0","20","20","4.14%","2018-2-2"
"永豐金-桃園","0","12","12","2.48%","2018-2-2"
"日盛-大墩","0","11","11","2.28%","2018-2-2"
"元大-羅東","0","10","10","2.07%","2018-2-2"
"瑞士信貸","0","10","10","2.07%","2018-2-2"
"日盛-忠孝","0","10","10","2.07%","2018-2-2"
"元大-竹北","0","10","10","2.07%","2018-2-2"
"元富-新莊","0","10","10","2.07%","2018-2-2"
"臺銀-民權","0","10","10","2.07%","2018-2-2"
"元富-城中","0","8","8","1.66%","2018-2-2"
"康和-台中","0","8","8","1.66%","2018-2-2"
"國泰","0","8","8","1.66%","2018-2-2"
"合庫-自強","0","73","73","15.11%","2018-2-5"
"富邦-大同","2","26","24","4.97%","2018-2-5"
"統一-仁愛","0","20","20","4.14%","2018-2-5"
"元大-經紀部","0","20","20","4.14%","2018-2-5"
"新光-高雄","0","12","12","2.48%","2018-2-5"
"元大-西門","0","11","11","2.28%","2018-2-5"
"美商高盛","0","10","10","2.07%","2018-2-5"
"第一金-彰化","0","10","10","2.07%","2018-2-5"
"玉山-城中","0","10","10","2.07%","2018-2-5"
"富邦-台北","0","10","10","2.07%","2018-2-5"
"元大-竹北","0","10","10","2.07%","2018-2-5"
"元大-台中中港","0","10","10","2.07%","2018-2-5"
"玉山-桃園","0","8","8","1.66%","2018-2-5"
"日盛-忠孝","0","8","8","1.66%","2018-2-5"
"永豐金-台中","0","8","8","1.66%","2018-2-5"
"美林","0","73","73","15.11%","2018-2-6"
"德信","2","26","24","4.97%","2018-2-6"
"元大-忠孝鼎富","0","20","20","4.14%","2018-2-6"
"日盛-新竹","0","20","20","4.14%","2018-2-6"
"花旗環球","0","12","12","2.48%","2018-2-6"
"華南永昌-中正","0","11","11","2.28%","2018-2-6"
"華南永昌-和平","0","10","10","2.07%","2018-2-6"
"統一-城中","0","10","10","2.07%","2018-2-6"
"富邦","0","10","10","2.07%","2018-2-6"
"富邦-台北","0","10","10","2.07%","2018-2-6"
"元大-木柵","0","10","10","2.07%","2018-2-6"
"元大-北成功","0","10","10","2.07%","2018-2-6"
"元富-新莊","0","8","8","1.66%","2018-2-6"
"新百王","0","8","8","1.66%","2018-2-6"
"聯邦-高雄","0","8","8","1.66%","2018-2-6"
"富邦-大同","0","73","73","15.11%","2018-2-7"
"元大-南屯","2","26","24","4.97%","2018-2-7"
"日盛-大墩","0","20","20","4.14%","2018-2-7"
"永豐金-桃園","0","20","20","4.14%","2018-2-7"
"元富-成功","0","12","12","2.48%","2018-2-7"
"美商高盛","0","11","11","2.28%","2018-2-7"
"元大-板橋","0","10","10","2.07%","2018-2-7"
"永豐金-中正","0","10","10","2.07%","2018-2-7"
"國票-台南","0","10","10","2.07%","2018-2-7"
"群益金鼎-北高雄","0","10","10","2.07%","2018-2-7"
"國票-九鼎","0","10","10","2.07%","2018-2-7"
"第一金-大稻埕","0","10","10","2.07%","2018-2-7"
"統一-仁愛","0","8","8","1.66%","2018-2-7"
"康和-南崁","0","8","8","1.66%","2018-2-7"
"國票-安和","0","8","8","1.66%","2018-2-7"
"群益金鼎-內湖","0","73","73","15.11%","2018-2-8"
"元大-花蓮","2","26","24","4.97%","2018-2-8"
"統一-板橋","0","20","20","4.14%","2018-2-8"
"國泰","0","20","20","4.14%","2018-2-8"
"元大-竹北","0","12","12","2.48%","2018-2-8"
"凱基-七賢","0","11","11","2.28%","2018-2-8"
"大鼎","0","10","10","2.07%","2018-2-8"
"元大-南京","0","10","10","2.07%","2018-2-8"
"玉山-新莊","0","10","10","2.07%","2018-2-8"
"華南永昌-中正","0","10","10","2.07%","2018-2-8"
"富邦-高雄","0","10","10","2.07%","2018-2-8"
"第一金-中山","0","10","10","2.07%","2018-2-8"
"元富-板橋","0","8","8","1.66%","2018-2-8"
"安泰-大發","0","8","8","1.66%","2018-2-8"
"元大-蘆洲","0","8","8","1.66%","2018-2-8"
"凱基-總公司","0","73","73","15.11%","2018-2-9"
"日盛-忠孝","2","26","24","4.97%","2018-2-9"
"華南永昌-大安","0","20","20","4.14%","2018-2-9"
"凱基-嘉義","0","20","20","4.14%","2018-2-9"
"凱基-台北","0","12","12","2.48%","2018-2-9"
"兆豐-大同","0","11","11","2.28%","2018-2-9"
"第一金-彰化","0","10","10","2.07%","2018-2-9"
"第一金","0","10","10","2.07%","2018-2-9"
"富邦","0","10","10","2.07%","2018-2-9"
"日盛-板橋","0","10","10","2.07%","2018-2-9"
"富邦-高雄","0","10","10","2.07%","2018-2-9"
"第一金-大稻埕","0","10","10","2.07%","2018-2-9"
"華南永昌-楠梓","0","8","8","1.66%","2018-2-9"
"元大-華山","0","8","8","1.66%","2018-2-9"
"美商高盛","0","8","8","1.66%","2018-2-9"
"凱基-總公司","0","73","73","15.11%","2018-2-12"
"永豐金-南京","2","26","24","4.97%","2018-2-12"
"永豐金-桃園","0","20","20","4.14%","2018-2-12"
"群益金鼎-內湖","0","20","20","4.14%","2018-2-12"
"元富-嘉義","0","12","12","2.48%","2018-2-12"
"中國信託","0","11","11","2.28%","2018-2-12"
"兆豐-北高雄","0","10","10","2.07%","2018-2-12"
"華南永昌-南京","0","10","10","2.07%","2018-2-12"
"美林","0","10","10","2.07%","2018-2-12"
"富邦-高雄","0","10","10","2.07%","2018-2-12"
"中國信託-文心","0","10","10","2.07%","2018-2-12"
"元富-埔里","0","10","10","2.07%","2018-2-12"
"元大-花蓮","0","8","8","1.66%","2018-2-12"
"宏遠-桃園","0","8","8","1.66%","2018-2-12"
"凱基-七賢","0","8","8","1.66%","2018-2-12"
"凱基-總公司","0","73","73","15.11%","2018-2-21"
"統一-南京","2","26","24","4.97%","2018-2-21"
"元大","0","20","20","4.14%","2018-2-21"
"凱基-嘉義","0","20","20","4.14%","2018-2-21"
"元富","0","12","12","2.48%","2018-2-21"
"日盛","0","11","11","2.28%","2018-2-21"
"兆豐-內湖","0","10","10","2.07%","2018-2-21"
"凱基-復興","0","10","10","2.07%","2018-2-21"
"元富-四維","0","10","10","2.07%","2018-2-21"
"統一-仁愛","0","10","10","2.07%","2018-2-21"
"富邦-嘉義","0","10","10","2.07%","2018-2-21"
"華南永昌-南京","0","10","10","2.07%","2018-2-21"
"玉山-板橋","0","8","8","1.66%","2018-2-21"
"國票-博愛","0","8","8","1.66%","2018-2-21"
"元大-大同","0","8","8","1.66%","2018-2-21"
"統一-南京","0","73","73","15.11%","2018-2-22"
"華南永昌-中正","2","26","24","4.97%","2018-2-22"
"華南永昌","0","20","20","4.14%","2018-2-22"
"美商高盛","0","20","20","4.14%","2018-2-22"
"富邦-仁愛","0","12","12","2.48%","2018-2-22"
"元富-成功","0","11","11","2.28%","2018-2-22"
"元大-彰化民生","0","10","10","2.07%","2018-2-22"
"統一-仁愛","0","10","10","2.07%","2018-2-22"
"大昌","0","10","10","2.07%","2018-2-22"
"瑞士信貸","0","10","10","2.07%","2018-2-22"
"第一金-台中","0","10","10","2.07%","2018-2-22"
"國票-中和","0","10","10","2.07%","2018-2-22"
"臺灣企銀-台北","0","8","8","1.66%","2018-2-22"
"新光-台南","0","8","8","1.66%","2018-2-22"
"大鼎","0","8","8","1.66%","2018-2-22"
"日盛","0","73","73","15.11%","2018-2-23"
"瑞士信貸","2","26","24","4.97%","2018-2-23"
"華南永昌-南京","0","20","20","4.14%","2018-2-23"
"元富-新店","0","20","20","4.14%","2018-2-23"
"第一金-忠孝","0","12","12","2.48%","2018-2-23"
"國泰-台南","0","11","11","2.28%","2018-2-23"
"台新-復興","0","10","10","2.07%","2018-2-23"
"兆豐-台中港","0","10","10","2.07%","2018-2-23"
"第一金-豐原","0","10","10","2.07%","2018-2-23"
"第一金-高雄","0","10","10","2.07%","2018-2-23"
"永豐金-敦南","0","10","10","2.07%","2018-2-23"
"凱基-竹科","0","10","10","2.07%","2018-2-23"
"美林","0","8","8","1.66%","2018-2-23"
"高橋-龍潭","0","8","8","1.66%","2018-2-23"
"富邦-經紀","0","8","8","1.66%","2018-2-23"
"永豐金-桃園","0","73","73","15.11%","2018-2-26"
"臺銀","2","26","24","4.97%","2018-2-26"
"中國信託-三重","0","20","20","4.14%","2018-2-26"
"新光","0","20","20","4.14%","2018-2-26"
"新光-台中","0","12","12","2.48%","2018-2-26"
"兆豐-竹北","0","11","11","2.28%","2018-2-26"
"新光-新竹","0","10","10","2.07%","2018-2-26"
"元大-左營","0","10","10","2.07%","2018-2-26"
"第一金-路竹","0","10","10","2.07%","2018-2-26"
"凱基-內湖","0","10","10","2.07%","2018-2-26"
"富邦-經紀","0","10","10","2.07%","2018-2-26"
"元大-竹科","0","10","10","2.07%","2018-2-26"
"元大-高雄","0","8","8","1.66%","2018-2-26"
"康和-南崁","0","8","8","1.66%","2018-2-26"
"國泰-台南","0","8","8","1.66%","2018-2-26"
"富邦-嘉義","0","73","73","15.11%","2018-2-27"
"金港","2","26","24","4.97%","2018-2-27"
"兆豐-大同","0","20","20","4.14%","2018-2-27"
"富邦-溪湖(停)","0","20","20","4.14%","2018-2-27"
"元大-雙和","0","12","12","2.48%","2018-2-27"
"富邦-台北","0","11","11","2.28%","2018-2-27"
"凱基-高美館","0","10","10","2.07%","2018-2-27"
"國泰-台中","0","10","10","2.07%","2018-2-27"
"臺銀","0","10","10","2.07%","2018-2-27"
"富邦-台中","0","10","10","2.07%","2018-2-27"
"日盛-忠孝","0","10","10","2.07%","2018-2-27"
"大昌-樹林","0","10","10","2.07%","2018-2-27"
"國泰-板橋","0","8","8","1.66%","2018-2-27"
"華南永昌-台中","0","8","8","1.66%","2018-2-27"
"元大-鶯歌","0","8","8","1.66%","2018-2-27"
"元大-西門","0","73","73","15.11%","2018-3-1"
"中國信託-三重","2","26","24","4.97%","2018-3-1"
"元大-經紀部","0","20","20","4.14%","2018-3-1"
"日盛","0","20","20","4.14%","2018-3-1"
"元大-台中中港","0","12","12","2.48%","2018-3-1"
"元大-佳里","0","11","11","2.28%","2018-3-1"
"統一-汐止","0","10","10","2.07%","2018-3-1"
"富邦-台北","0","10","10","2.07%","2018-3-1"
"凱基-員林","0","10","10","2.07%","2018-3-1"
"玉山","0","10","10","2.07%","2018-3-1"
"鑫豐","0","10","10","2.07%","2018-3-1"
"宏遠-桃園","0","10","10","2.07%","2018-3-1"
"永豐金-板新","0","8","8","1.66%","2018-3-1"
"日盛-忠孝","0","8","8","1.66%","2018-3-1"
"大昌-安康","0","8","8","1.66%","2018-3-1"
"美林","0","73","73","15.11%","2018-3-2"
"玉山-新莊","2","26","24","4.97%","2018-3-2"
"日盛-花蓮","0","20","20","4.14%","2018-3-2"
"日盛-新莊","0","20","20","4.14%","2018-3-2"
"第一金-彰化","0","12","12","2.48%","2018-3-2"
"富邦-台中","0","11","11","2.28%","2018-3-2"
"第一金-豐原","0","10","10","2.07%","2018-3-2"
"元大-經紀部","0","10","10","2.07%","2018-3-2"
"中國信託","0","10","10","2.07%","2018-3-2"
"日盛","0","10","10","2.07%","2018-3-2"
"德信-中正","0","10","10","2.07%","2018-3-2"
"群益金鼎-南三重","0","10","10","2.07%","2018-3-2"
"瑞士信貸","0","8","8","1.66%","2018-3-2"
"富邦-建國","0","8","8","1.66%","2018-3-2"
"兆豐-北高雄","0","8","8","1.66%","2018-3-2"
"富邦-建國","0","73","73","15.11%","2018-3-5"
"富邦-民生","2","26","24","4.97%","2018-3-5"
"美林","0","20","20","4.14%","2018-3-5"
"元大-南京","0","20","20","4.14%","2018-3-5"
"中國信託","0","12","12","2.48%","2018-3-5"
"凱基-板橋","0","11","11","2.28%","2018-3-5"
"統一-南京","0","10","10","2.07%","2018-3-5"
"兆豐-大同","0","10","10","2.07%","2018-3-5"
"元大-鑫永和","0","10","10","2.07%","2018-3-5"
"華南永昌-潮州","0","10","10","2.07%","2018-3-5"
"國票-安和","0","10","10","2.07%","2018-3-5"
"新光-台中","0","10","10","2.07%","2018-3-5"
"台中銀","0","8","8","1.66%","2018-3-5"
"第一金-灣內(停)","0","8","8","1.66%","2018-3-5"
"元富-三重","0","8","8","1.66%","2018-3-5"
"元富","0","73","73","15.11%","2018-3-6"
"兆豐-中壢","2","26","24","4.97%","2018-3-6"
"凱基-高美館","0","20","20","4.14%","2018-3-6"
"美林","0","20","20","4.14%","2018-3-6"
"日盛-中壢","0","12","12","2.48%","2018-3-6"
"元大-東港","0","11","11","2.28%","2018-3-6"
"兆豐-北高雄","0","10","10","2.07%","2018-3-6"
"永豐金-豐原","0","10","10","2.07%","2018-3-6"
"華南永昌-中正","0","10","10","2.07%","2018-3-6"
"永豐金-忠孝","0","10","10","2.07%","2018-3-6"
"凱基-羅東","0","10","10","2.07%","2018-3-6"
"大昌-新店","0","10","10","2.07%","2018-3-6"
"兆豐-南門","0","8","8","1.66%","2018-3-6"
"永豐金-苓雅","0","8","8","1.66%","2018-3-6"
"台中銀-中壢","0","8","8","1.66%","2018-3-6"
"國泰","0","73","73","15.11%","2018-3-7"
"香港上海匯豐","2","26","24","4.97%","2018-3-7"
"凱基-台北","0","20","20","4.14%","2018-3-7"
"瑞士信貸","0","20","20","4.14%","2018-3-7"
"國泰-高雄","0","12","12","2.48%","2018-3-7"
"美林","0","11","11","2.28%","2018-3-7"
"凱基-竹科","0","10","10","2.07%","2018-3-7"
"永豐金-忠孝","0","10","10","2.07%","2018-3-7"
"台灣企銀-竹北","0","10","10","2.07%","2018-3-7"
"元大-板橋","0","10","10","2.07%","2018-3-7"
"元大-雙和","0","10","10","2.07%","2018-3-7"
"華南永昌-岡山","0","10","10","2.07%","2018-3-7"
"富邦-仁愛","0","8","8","1.66%","2018-3-7"
"元富-緯城","0","8","8","1.66%","2018-3-7"
"群益金鼎-延平","0","8","8","1.66%","2018-3-7"
"日盛","0","73","73","15.11%","2018-3-8"
"元富-敦南","2","26","24","4.97%","2018-3-8"
"致和-東門","0","20","20","4.14%","2018-3-8"
"美林","0","20","20","4.14%","2018-3-8"
"第一金-豐原","0","12","12","2.48%","2018-3-8"
"國泰-板橋","0","11","11","2.28%","2018-3-8"
"台灣企銀-三民","0","10","10","2.07%","2018-3-8"
"瑞士信貸","0","10","10","2.07%","2018-3-8"
"台新","0","10","10","2.07%","2018-3-8"
"玉山-士林","0","10","10","2.07%","2018-3-8"
"元大-經紀部","0","10","10","2.07%","2018-3-8"
"亞東-台中","0","10","10","2.07%","2018-3-8"
"凱基-內湖","0","8","8","1.66%","2018-3-8"
"元富-潮州","0","8","8","1.66%","2018-3-8"
"鑫豐","0","8","8","1.66%","2018-3-8"
"華南永昌-南京","0","73","73","15.11%","2018-3-9"
"元大-經紀部","2","26","24","4.97%","2018-3-9"
"國票-安和","0","20","20","4.14%","2018-3-9"
"致和-東門","0","20","20","4.14%","2018-3-9"
"兆豐-忠孝","0","12","12","2.48%","2018-3-9"
"國泰","0","11","11","2.28%","2018-3-9"
"元富-緯城","0","10","10","2.07%","2018-3-9"
"鑫豐","0","10","10","2.07%","2018-3-9"
"永豐金-南京","0","10","10","2.07%","2018-3-9"
"玉山-士林","0","10","10","2.07%","2018-3-9"
"元大-南京","0","10","10","2.07%","2018-3-9"
"群益金鼎-高盛","0","10","10","2.07%","2018-3-9"
"凱基-士林","0","8","8","1.66%","2018-3-9"
"富邦-敦南","0","8","8","1.66%","2018-3-9"
"日盛-忠孝","0","8","8","1.66%","2018-3-9"
"國票-安和","0","73","73","15.11%","2018-3-12"
"華南永昌-南京","2","26","24","4.97%","2018-3-12"
"兆豐-中壢","0","20","20","4.14%","2018-3-12"
"港商德意志","0","20","20","4.14%","2018-3-12"
"第一金-彰化","0","12","12","2.48%","2018-3-12"
"富邦-大同","0","11","11","2.28%","2018-3-12"
"永豐金-經紀部","0","10","10","2.07%","2018-3-12"
"華南永昌","0","10","10","2.07%","2018-3-12"
"福邦","0","10","10","2.07%","2018-3-12"
"華南永昌-台中","0","10","10","2.07%","2018-3-12"
"大昌-樹林","0","10","10","2.07%","2018-3-12"
"元大-開元","0","10","10","2.07%","2018-3-12"
"凱基-新豐","0","8","8","1.66%","2018-3-12"
"元大-花蓮","0","8","8","1.66%","2018-3-12"
"永豐金-松山","0","8","8","1.66%","2018-3-12"
"永豐金-南京","0","73","73","15.11%","2018-3-13"
"富邦-基隆","2","26","24","4.97%","2018-3-13"
"元大-花蓮","0","20","20","4.14%","2018-3-13"
"第一金-忠孝","0","20","20","4.14%","2018-3-13"
"日盛-忠孝","0","12","12","2.48%","2018-3-13"
"富邦-敦南","0","11","11","2.28%","2018-3-13"
"元大-木柵","0","10","10","2.07%","2018-3-13"
"元大-新和平","0","10","10","2.07%","2018-3-13"
"永豐金-潮州","0","10","10","2.07%","2018-3-13"
"元大-信義","0","10","10","2.07%","2018-3-13"
"玉山-板橋","0","10","10","2.07%","2018-3-13"
"永豐金-三重","0","10","10","2.07%","2018-3-13"
"元富-城中","0","8","8","1.66%","2018-3-13"
"元富-三重","0","8","8","1.66%","2018-3-13"
"(牛牛牛)亞-網路","0","8","8","1.66%","2018-3-13"
"國泰-忠孝","0","73","73","15.11%","2018-3-14"
"永豐金","2","26","24","4.97%","2018-3-14"
"富邦-敦南","0","20","20","4.14%","2018-3-14"
"中國信託-忠孝","0","20","20","4.14%","2018-3-14"
"元大-台北","0","12","12","2.48%","2018-3-14"
"第一金-中壢","0","11","11","2.28%","2018-3-14"
"兆豐-高雄","0","10","10","2.07%","2018-3-14"
"凱基-竹北","0","10","10","2.07%","2018-3-14"
"大昌-安康","0","10","10","2.07%","2018-3-14"
"永豐金-中正","0","10","10","2.07%","2018-3-14"
"日盛-木柵","0","10","10","2.07%","2018-3-14"
"新光-台中","0","10","10","2.07%","2018-3-14"
"第一金-經紀部","0","8","8","1.66%","2018-3-14"
"元富-西松","0","8","8","1.66%","2018-3-14"
"國票-安和","0","8","8","1.66%","2018-3-14"
"兆豐-中壢","0","73","73","15.11%","2018-3-15"
"台新-五權(停)","2","26","24","4.97%","2018-3-15"
"彰銀","0","20","20","4.14%","2018-3-15"
"日盛-內湖","0","20","20","4.14%","2018-3-15"
"統一-仁愛","0","12","12","2.48%","2018-3-15"
"永豐金-三重","0","11","11","2.28%","2018-3-15"
"國票-長城","0","10","10","2.07%","2018-3-15"
"群益金鼎-桃園","0","10","10","2.07%","2018-3-15"
"台灣企銀-民雄","0","10","10","2.07%","2018-3-15"
"玉山-城中","0","10","10","2.07%","2018-3-15"
"凱基-興隆","0","10","10","2.07%","2018-3-15"
"元大-士林","0","10","10","2.07%","2018-3-15"
"高橋-龍潭","0","8","8","1.66%","2018-3-15"
"富邦-南屯","0","8","8","1.66%","2018-3-15"
"第一金-嘉義","0","8","8","1.66%","2018-3-15"
"統一","0","73","73","15.11%","2018-3-16"
"國票-北投","2","26","24","4.97%","2018-3-16"
"永豐金-潮州","0","20","20","4.14%","2018-3-16"
"臺灣企銀-台北","0","20","20","4.14%","2018-3-16"
"華南永昌-長虹","0","12","12","2.48%","2018-3-16"
"中國信託-三重","0","11","11","2.28%","2018-3-16"
"元大-樹林","0","10","10","2.07%","2018-3-16"
"凱基-中港","0","10","10","2.07%","2018-3-16"
"富邦-大同","0","10","10","2.07%","2018-3-16"
"元大-忠孝鼎富","0","10","10","2.07%","2018-3-16"
"元富-敦南","0","10","10","2.07%","2018-3-16"
"中國信託-文心","0","10","10","2.07%","2018-3-16"
"華南永昌-鳳山","0","8","8","1.66%","2018-3-16"
"統一-高雄","0","8","8","1.66%","2018-3-16"
"華南永昌-高雄","0","8","8","1.66%","2018-3-16"
"兆豐-中壢","0","73","73","15.11%","2018-3-19"
"永豐金-中壢","2","26","24","4.97%","2018-3-19"
"永豐金-嘉義","0","20","20","4.14%","2018-3-19"
"群益金鼎-中壢","0","20","20","4.14%","2018-3-19"
"臺灣企銀-台北","0","12","12","2.48%","2018-3-19"
"大昌-新店","0","11","11","2.28%","2018-3-19"
"臺銀","0","10","10","2.07%","2018-3-19"
"大展","0","10","10","2.07%","2018-3-19"
"大昌","0","10","10","2.07%","2018-3-19"
"統一","0","10","10","2.07%","2018-3-19"
"中國信託-忠孝","0","10","10","2.07%","2018-3-19"
"光隆","0","10","10","2.07%","2018-3-19"
"兆豐-民生","0","8","8","1.66%","2018-3-19"
"元大-忠孝鼎富","0","8","8","1.66%","2018-3-19"
"永豐金-松山","0","8","8","1.66%","2018-3-19"
